round,client_id,gbound,round_time,samples
17,93,12.018311500549316,0.8309760797768831,156
17,5,18.891916275024414,0.8613979160785675,162
18,64,12.018311500549316,0.7202710300683975,140
18,33,16.244691848754883,0.7260413389652968,160
18,93,18.891916275024414,0.7462500888854265,156
18,82,23.527267456054688,0.8415451642125845,162
18,89,9.701631546020508,1.088797041773796,246
19,13,12.018311500549316,0.7400543238967657,144
19,20,23.527267456054688,0.7770677223801613,144
19,52,20.46626091003418,0.7772405181080103,162
19,4,9.701631546020508,0.8065249469131232,159
19,87,16.244691848754883,0.8065654780715704,160
20,10,12.018311500549316,0.7262761440128088,149
20,11,23.527267456054688,0.766402879357338,153
20,6,20.46626091003418,0.7830487467348576,163
20,4,16.244691848754883,0.7683996070176363,159
20,89,9.701631546020508,1.0540877036750316,246
21,51,16.244691848754883,0.7052283357828856,135
21,9,12.018311500549316,0.720500934496522,145
21,53,20.46626091003418,0.7526001013815403,155
21,93,23.527267456054688,0.790496276319027,156
21,39,9.701631546020508,0.801157520711422,165
22,46,16.244691848754883,0.649426145106554,134
22,64,9.701631546020508,0.7946086578071118,140
22,32,31.143470764160156,0.8473131895065308,161
22,100,23.527267456054688,0.9456204526126385,219
22,56,20.46626091003418,1.0175187472254037,250
23,94,23.527267456054688,0.770534835383296,159
23,77,16.615081787109375,0.7946960307657719,162
23,23,10.770907402038574,0.8823822118341923,198
23,1,31.143470764160156,0.9555906277149916,221
23,56,20.46626091003418,1.0472530290484428,250
24,35,20.46626091003418,0.7882922064512968,147
24,53,31.143470764160156,0.748749440163374,155
24,99,10.770907402038574,0.7837306872010231,160
24,38,16.615081787109375,0.8244877547025681,162
24,52,23.527267456054688,0.8283789340406656,162
25,12,10.770907402038574,0.6417535353451967,118
25,42,16.615081787109375,0.802552179992199,156
25,45,31.143470764160156,0.9066960342228413,192
25,100,23.527267456054688,0.9662520024925471,219
25,67,20.46626091003418,0.9930944662541151,226
26,19,31.143470764160156,0.7320359829813242,144
26,8,10.770907402038574,0.7341368976980448,141
26,19,16.615081787109375,0.7102761842310429,144
26,69,23.527267456054688,0.7683375138789416,161
26,94,20.46626091003418,0.7561133202165365,159
27,98,10.770907402038574,0.7398075830191374,160
27,43,16.615081787109375,0.7477695006877184,160
27,42,20.46626091003418,0.7729599919170141,156
27,71,31.143470764160156,0.7672686088830233,144
27,17,23.527267456054688,0.7693973403424025,160
28,64,10.770907402038574,0.7496184907853604,140
28,96,20.46626091003418,0.7470246512442827,137
28,95,16.615081787109375,0.7548979945480824,158
28,5,23.761913299560547,0.7711709585040808,162
28,68,31.143470764160156,0.779848038777709,162
29,71,31.143470764160156,0.7078407272696495,144
29,48,16.615081787109375,0.7550064396113157,159
29,83,20.46626091003418,0.7450566790997982,160
29,55,18.80146026611328,0.809300746396184,162
29,88,24.095991134643555,0.7936407342553139,162
30,20,16.615081787109375,0.7079636581242085,144
30,77,24.095991134643555,0.7811353910714388,162
30,94,31.143470764160156,0.7936154264956713,159
30,91,18.80146026611328,0.8437016732990742,162
30,78,20.46626091003418,0.9366288162767887,207
31,79,16.615081787109375,0.7486765753477812,141
31,53,18.80146026611328,0.7824194483458996,155
31,86,31.143470764160156,0.7814028203487396,158
31,3,20.46626091003418,0.7909868784248829,165
31,83,24.095991134643555,0.8124311469495297,160
32,96,31.143470764160156,0.6919737622141838,137
32,75,18.80146026611328,0.7762382995337248,153
32,62,24.095991134643555,0.7786804880946875,156
32,97,20.46626091003418,0.7900718577206135,158
32,23,16.615081787109375,0.9076126791536808,198
33,79,16.615081787109375,0.7300817497074604,141
33,81,31.143470764160156,0.783460208773613,153
33,29,18.80146026611328,0.804636025428772,164
33,82,20.46626091003418,0.846448365226388,162
33,34,24.095991134643555,1.2308283928781747,309
34,79,24.095991134643555,0.7618543185293675,141
34,66,16.615081787109375,0.7725285325199366,162
34,91,31.143470764160156,0.7992722239345312,162
34,44,20.46626091003418,0.8311339184641838,166
34,1,18.80146026611328,0.9579716879874468,221
35,84,24.095991134643555,0.6713186237961054,127
35,99,18.80146026611328,0.744687232747674,160
35,50,31.143470764160156,0.806279293820262,157
35,5,20.46626091003418,0.7835491854697466,162
35,45,16.615081787109375,0.8809900242835284,192
36,64,16.615081787109375,0.6841702997684479,140
36,93,24.095991134643555,0.7852929640561342,156
36,47,26.645601272583008,0.8178940188139677,161
36,93,31.143470764160156,0.826571873947978,156
36,89,20.46626091003418,1.0204667314887046,246
37,96,24.095991134643555,0.684915529191494,137
37,84,31.143470764160156,0.6592438850551844,127
37,64,20.46626091003418,0.7196992762386799,140
37,20,16.615081787109375,0.7353441786020994,144
37,40,26.645601272583008,0.7770767040550709,155
38,58,22.30782127380371,0.654439702257514,130
38,42,26.645601272583008,0.7248556591570378,156
38,71,24.095991134643555,0.7511275090277195,144
38,93,16.615081787109375,0.7522964231669903,156
38,76,31.143470764160156,0.8216520693153143,163
39,19,31.143470764160156,0.7224944043904543,144
39,6,26.645601272583008,0.800138383731246,163
39,97,16.615081787109375,0.7604877647012472,158
39,16,24.095991134643555,0.8189003817737103,164
39,69,28.65195655822754,0.8244699720293284,161
40,58,28.65195655822754,0.6699547503143549,130
40,77,23.707077026367188,0.7915190491825342,162
40,41,26.645601272583008,0.7716742228716612,158
40,70,31.143470764160156,0.7956733644008637,162
40,41,24.095991134643555,0.7972376193851233,158
41,15,26.645601272583008,0.7285357598215342,144
41,7,24.095991134643555,0.7553064614534378,159
41,87,23.707077026367188,0.7759927451610565,160
41,66,31.143470764160156,0.7826499357819557,162
41,72,28.65195655822754,0.8092499017715454,158
42,19,26.645601272583008,0.7190282229334116,144
42,85,28.65195655822754,0.7037482984364033,155
42,33,31.143470764160156,0.7982966616749764,160
42,99,24.095991134643555,0.7912016674876213,160
42,76,23.707077026367188,0.7769889138638973,163
43,61,26.645601272583008,0.7312778472900391,153
43,76,28.65195655822754,0.7856446631252766,163
43,32,23.707077026367188,0.8284927565604449,161
43,34,24.095991134643555,1.2230901174247264,309
43,34,31.143470764160156,1.2524269200861453,309
44,28,28.65195655822754,0.7193753752857447,153
44,95,24.095991134643555,0.7561939243227244,158
44,66,31.103124618530273,0.7799098581075669,162
44,66,31.143470764160156,0.7825273867696524,162
44,89,23.707077026367188,1.02573510594666,246
45,75,24.095991134643555,0.7237909339368344,153
45,35,31.103124618530273,0.7316979836672545,147
